published_date,market,entry_time,exit_time,ticker,direction,shares,entry_price,exit_price,target_price,stop_price,hit_target,hit_stop,pnl,pnl_pct,capital_after,news_event,link,runid,rundate
2025-07-10 04:40:00+00:00,pre_market,2025-07-10 05:40:00+00:00,2025-07-10 10:40:00+00:00,ALVO,LONG,114,8.74,8.6963,8.8274,8.6963,False,True,-4.9818,-0.49818,99995.0182,management_changes,,42a4e24b,2025-07-11 20:47:36.940410
2025-07-10 04:40:00+00:00,pre_market,2025-07-10 05:40:00+00:00,2025-07-10 10:40:00+00:00,ALVO,LONG,114,8.74,8.6963,8.8274,8.6963,False,True,-4.9818,-0.498205,99990.0364,management_changes,,42a4e24b,2025-07-11 20:47:36.940410
2025-07-10 04:40:00+00:00,pre_market,2025-07-10 05:40:00+00:00,2025-07-10 10:40:00+00:00,ALVO,LONG,114,8.74,8.6963,8.8274,8.6963,False,True,-4.9818,-0.49823,99985.0546,management_changes,,42a4e24b,2025-07-11 20:47:36.940410
2025-07-09 16:15:00+00:00,after_market,2025-07-09 17:15:00+00:00,2025-07-09 22:15:00+00:00,CERT,SHORT,87,11.415,11.47,11.30085,11.472075,False,False,-4.785,-0.478572,99980.2696,earnings_releases_and_operating_results,,42a4e24b,2025-07-11 20:47:36.940410
2025-07-09 16:05:00+00:00,after_market,2025-07-09 17:05:00+00:00,2025-07-09 22:05:00+00:00,OCS,LONG,54,18.51,18.43,18.6951,18.41745,False,False,-4.32,-0.432085,99975.9496,changes_in_companys_own_shares,,42a4e24b,2025-07-11 20:47:36.940410
2025-07-09 08:30:00+00:00,pre_market,2025-07-09 09:30:00+00:00,2025-07-09 14:30:00+00:00,CELU,LONG,528,1.89,1.89,1.9089,1.88055,False,False,0.0,0.0,99975.9496,partnerships,,42a4e24b,2025-07-11 20:47:36.940410
2025-07-09 08:30:00+00:00,pre_market,2025-07-09 09:30:00+00:00,2025-07-09 14:30:00+00:00,CELU,LONG,528,1.89,1.89,1.9089,1.88055,False,False,0.0,0.0,99975.9496,partnerships,,42a4e24b,2025-07-11 20:47:36.940410
2025-07-09 08:05:00+00:00,pre_market,2025-07-09 09:05:00+00:00,2025-07-09 14:05:00+00:00,CADL,LONG,190,5.24,5.2924,5.2924,5.2138,True,False,9.956,0.995839,99985.9056,exchange_announcement,,42a4e24b,2025-07-11 20:47:36.940410
2025-07-09 08:05:00+00:00,pre_market,2025-07-09 09:05:00+00:00,2025-07-09 14:05:00+00:00,CADL,LONG,190,5.24,5.2924,5.2924,5.2138,True,False,9.956,0.99574,99995.8616,exchange_announcement,,42a4e24b,2025-07-11 20:47:36.940410
2025-07-09 08:00:00+00:00,pre_market,2025-07-09 09:00:00+00:00,2025-07-09 14:00:00+00:00,ICCC,LONG,150,6.63,6.6963,6.6963,6.59685,True,False,9.945,0.994541,100005.8066,financial_results,,42a4e24b,2025-07-11 20:47:36.940410
2025-07-11 15:30:00+00:00,regular_market,2025-07-11 16:30:00+00:00,2025-07-11 21:30:00+00:00,ALMA,LONG,78,12.75,12.68625,12.8775,12.68625,False,True,-4.9725,-0.49725,99995.0275,corporate_action,,3507e0c8,2025-07-11 20:47:37.773741
2025-07-11 15:30:00+00:00,regular_market,2025-07-11 16:30:00+00:00,2025-07-11 21:30:00+00:00,FSKRS.HE,SHORT,67,14.74,14.76,14.5926,14.8137,False,False,-1.340031,-0.13401,99993.687469,changes_in_companys_own_shares,,3507e0c8,2025-07-11 20:47:37.773741
2025-07-11 15:30:00+00:00,regular_market,2025-07-11 16:30:00+00:00,2025-07-11 21:30:00+00:00,UNITED,LONG,59,16.9,17.069,17.069,16.8155,True,False,9.971,0.997163,100003.658469,changes_in_companys_own_shares,,3507e0c8,2025-07-11 20:47:37.773741
2025-07-11 15:10:00+00:00,regular_market,2025-07-11 16:10:00+00:00,2025-07-11 21:10:00+00:00,INDCT.OL,LONG,252,3.96,3.9402,3.9996,3.9402,False,True,-4.9896,-0.498942,99998.668869,changes_in_companys_own_shares,,3507e0c8,2025-07-11 20:47:37.773741
2025-07-11 15:03:00+00:00,regular_market,2025-07-11 16:03:00+00:00,2025-07-11 21:03:00+00:00,TCM.CO,LONG,13,75.800003,75.421003,76.558003,75.421003,False,True,-4.927,-0.492707,99993.741869,major_shareholder_announcements,,3507e0c8,2025-07-11 20:47:37.773741
2025-07-11 15:00:00+00:00,regular_market,2025-07-11 16:00:00+00:00,2025-07-11 21:00:00+00:00,OBSRV.OL,LONG,943,1.06,1.0706,1.0706,1.0547,True,False,9.995799,0.999643,100003.737668,geographic_expansion,,3507e0c8,2025-07-11 20:47:37.773741
2025-07-11 15:00:00+00:00,regular_market,2025-07-11 16:00:00+00:00,2025-07-11 21:00:00+00:00,CAT31.PA,LONG,11,89.709999,89.261449,90.607099,89.261449,False,True,-4.93405,-0.493387,99998.803618,company_regulatory_filings,,3507e0c8,2025-07-11 20:47:37.773741
2025-07-11 15:00:00+00:00,regular_market,2025-07-11 16:00:00+00:00,2025-07-11 21:00:00+00:00,ICP1V.HE,SHORT,82,12.16,12.0384,12.0384,12.2208,True,False,9.9712,0.997132,100008.774818,shares_issue,,3507e0c8,2025-07-11 20:47:37.773741
2025-07-11 14:40:00+00:00,regular_market,2025-07-11 15:40:00+00:00,2025-07-11 20:40:00+00:00,AKAST.OL,LONG,81,12.3,12.36,12.423,12.2385,False,False,4.859957,0.485953,100013.634775,major_shareholder_announcements,,3507e0c8,2025-07-11 20:47:37.773741
2025-07-11 14:31:00+00:00,regular_market,2025-07-11 15:31:00+00:00,2025-07-11 20:31:00+00:00,TOBII.ST,LONG,173,5.75,5.8075,5.8075,5.72125,True,False,9.9475,0.994614,100023.582275,product_services_announcement,,3507e0c8,2025-07-11 20:47:37.773741
